2026-02-03 13:37:40.242 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:37:43.895 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:37:48.032 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:37:51.372 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:37:55.839 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:37:59.363 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:38:02.775 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:38:06.959 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:38:15.672 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:38:19.075 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:38:22.523 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:38:25.972 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:38:30.446 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:38:33.643 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:38:38.077 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:38:41.722 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:38:45.029 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:38:49.196 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:38:53.058 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:38:57.442 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:39:00.900 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:39:04.463 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:39:07.933 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:39:12.038 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:39:16.397 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:39:19.810 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:39:23.935 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:39:28.226 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:39:31.864 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:39:35.309 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:39:39.179 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:39:43.237 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:39:46.316 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:39:50.744 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:39:54.687 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:39:59.073 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:40:03.314 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:40:06.423 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:40:10.285 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:40:13.297 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:40:17.663 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:40:22.101 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:40:26.315 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:40:30.537 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:40:34.896 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:40:38.365 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:40:42.341 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:40:46.308 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:40:50.327 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:40:54.230 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
2026-02-03 13:40:57.592 [BettingWindow-2] DEBUG com.mouse.bet.window.SportyBet - 📊 🔍 Polling for BetLegTask from queue...
